IDNUMERO_ DE REPORTE,ÁREA ,TURNO,LÍNEA ,EQUIPO,CÓDIGO_SUBSISTEMA,SUPERVISOR,ESTATUS,REPORTA,TIPO DE FALLA,FECHA DE INICIO,HORA DE INICIO,FECHA DE CIERRE,HORA DE CIERRE,TIEMPO DE PROCURA,DOWNTIME
c955b93b,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,RICARDO,PENDIENTE,SUPERVISOR,"Falla: Mal formación del envase. ""Pestañas superior"" y unidad de alimentación, fallo  adquisición posición de referencia.

Solución: Se presenta par de fallas en la intervención del equipo el,cual se destacan a continuación.

Mal formación del envase. ""Pestañas superior: Falla principal de la parada , se procede a realizar medidas de los tacos de empujadores según MM, por otro lado se aumenta ancho de guías centrales de la plegadora, por otro lado se justa compensación del transportador de entrada a 80 mm. Al finalizar el turno la falla continúa.",15/04/2026,21:12:03,,,,
64bafa96,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Paleta dañada se queda atorada en el carro de palets llenos, se saca de manera manual",16/04/2026,0:49:00,16/04/2026,0:49:00,,0:00:00
,,,,,,,,,,,,,,,
2599cdf9,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,"En el empalme de bobina se despega la tira y se enrolla en uno de los rodillos de la cámara aséptica, se corta la tira antes de entrar en la cámara aséptica y se le coloca tiro, se hala tubo hasta que la tira sale nuevamente.",16/04/2026,1:40:00,16/04/2026,2:15:00,,0:35:00
fe2e9ea3,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se resetea falla de sincronización de plegadora vía TPOP,16/04/2026,2:52:00,16/04/2026,2:52:00,,0:00:00
679cb195,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se resetea falla de rodillo péndulo vía TPOP,16/04/2026,3:19:00,16/04/2026,3:19:00,,0:00:00
615a50ba,ASÉPTICO,TURNO 3,LINEA 3,HELIX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se abre agua para lubricar transportador y evitar la caída de envases a la salida,16/04/2026,3:40:00,16/04/2026,3:49:00,,0:09:00
0b4f2cd2,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,"No realiza empalme de forma automática, no se observan anomalías, se realiza empalme de forma manual.",16/04/2026,4:28:00,16/04/2026,4:28:00,,0:00:00
62847a29,ASÉPTICO,TURNO 2,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Desenfoque de sensor de batería impedía el accionamiento correcto de los rodillos transportadores,16/04/2026,15:00:00,16/04/2026,15:19:00,,0:19:00
2e3b5924,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Alarma de recodo vacío, se elimina alarma por tpop permitiendo dar continuidad a la producción.",16/04/2026,15:29:49,16/04/2026,15:37:27,,0:07:38
6a10cc56,ASÉPTICO,TURNO 2,LINEA 3,HELIX,,YOLIANNY,FINALIZADO,SUPERVISOR,Atasco de envases en araña debido a envases con exceso de nitrógeno. Se realiza ajuste de regulación de nitrógeno,16/04/2026,18:48:19,16/04/2026,19:11:01,,0:22:42
55fae582,ASÉPTICO,TURNO 2,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Caída de programa debido a falla de sensor Adam de seguridad de puerta de cámara aséptica superior,16/04/2026,16:40:11,16/04/2026,17:17:18,,0:37:07
d2c0599e,ASÉPTICO,TURNO 2,LINEA 2,FW32,,YOLIANNY,FINALIZADO,SUPERVISOR,Ruptura de envases en transferencia hacia la zona de contracción debido a pusher plates (palas) flojos. Se reemplaza tornilleria de base de los mismos con lo cual permite dar continuidad a la producción,16/04/2026,17:35:17,16/04/2026,18:21:04,,0:45:47
36530157,ASÉPTICO,TURNO 2,LINEA 3,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Maltrato de envases en zona de agrupación. Se realizan ajustes de guías de agrupador.,16/04/2026,19:21:04,16/04/2026,19:58:14,,0:37:10
db91541d,ASÉPTICO,TURNO 2,LINEA 2,FW32,,YOLIANNY,FINALIZADO,SUPERVISOR,Máquina no realiza sellado mostrando alarma de falla de sellado. Se ajusta placa de sensor de soldador,16/04/2026,19:36:00,16/04/2026,19:46:00,,0:10:00
961afc6b,ASÉPTICO,TURNO 2,LINEA 2,FW32,,YOLIANNY,FINALIZADO,SUPERVISOR,Máquina no realiza sellado mostrando alarma de falla de sellado. Se ajusta placa de sensor de soldador,16/04/2026,19:59:25,16/04/2026,20:15:00,,0:15:35
effeb737,ASÉPTICO,TURNO 2,LINEA 2,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla en la entrega de cartón debido a succión de ventosa deficiente. Se destapa filtro de ventosa superior el cual se encontraba tapado,16/04/2026,20:20:31,16/04/2026,20:43:00,,0:22:29
a29964ce,ASÉPTICO,TURNO 2,LINEA 2,FW32,,YOLIANNY,FINALIZADO,SUPERVISOR,Ruptura de placa de sensor detector de posición de soldador. Se retira pieza de Fw32 de línea 3 a fin de dar continuidad a la producción,16/04/2026,20:53:01,16/04/2026,21:20:03,,0:27:02
643ffa5b,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Maltrato en el envase, se envía máquina a limpieza para su revisión posterior ya que a simple vista no se observan anomalías.",16/04/2026,22:10:39,17/04/2026,3:00:00,,4:49:21
