,Julio, ,,Presentación,Tiempo Reportado,,Cajas Producidas,Turno,Velocidad de linea,Tiempo de Producción,Tiempo Total Repotado,Tiempo por Repotar (min),Meta de Producción,Tiempo por Repotar (h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,O,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo de Producción Teorico ,,"0,12",,Tiempo de Producción Teorico ,,0,,Tiempo de Producción Teorico ,,"0,0",,Tiempo de Producción Teorico ,,"0,0",,Tiempo de Producción Teorico ,,"0,0",,Tiempo de Producción Teorico ,,"0,0",,Tiempo de Producción Teorico ,,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo Disponible ,,"3,87",,Tiempo Disponible ,,"0,0",,Tiempo Disponible ,,"0,00",,Tiempo Disponible ,,"0,0",,Tiempo Disponible ,,"0,0",,Tiempo Disponible ,,"0,0",,Tiempo Disponible ,,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tiempo Disponible (SPE),,"0,12",,Tiempo Disponible (SPE),,"0,00",,Tiempo Disponible (SPE),,"0,00",,Tiempo Disponible (SPE),,"0,00",,Tiempo Disponible (SPE),,"0,00",,Tiempo Disponible (SPE),,"0,00",,Tiempo Disponible (SPE),,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. Paradas Programadas,,"3,00",,T. Paradas Programadas,,"0,0",,T. Paradas Programadas,,"3,0",,T. Paradas Programadas,,"0,0",,T. Paradas Programadas,,"3,0",,T. Paradas Programadas,,"3,0",,T. Paradas Programadas,,"0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paradas Externas/Tiempo Ocioso,,"0,00",,Paradas Externas No Programadas,,0,,Paradas Externas No Programadas,,"0,00",,Paradas Externas No Programadas,,"0,00",,Paradas Externas No Programadas,,"0,00",,Paradas Externas No Programadas,,"0,00",,Paradas Externas No Programadas,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. Presentacion no Planificada,,"0,00",,T. Presentacion no Planificada,,"8,0",,T. Presentacion no Planificada,,"0,00",,T. Presentacion no Planificada,,"8,0",,T. Presentacion no Planificada,,"0,00",,T. Presentacion no Planificada,,"0,00",,T. Presentacion no Planificada,,"8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,T. Mecanico,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. Operacional,,"3,75",,T. Operacional,,"0,00",,T. Operacional,,"0,00",,T. Operacional,,"0,00",,T. Operacional,,"0,00",,T. Operacional,,"0,00",,T. Operacional,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. Total,,"6,87",,T. Total,,"8,00",,T. Total,,"3,00",,T. Total,,"8,00",,T. Total,,"3,00",,T. Total,,"3,00",,T. Total,,"8,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disponibilidad (%),,3%,,Disponibilidad (%),,"0,00",,Disponibilidad (%),,0%,,Disponibilidad (%),,0,,Disponibilidad (%),,0%,,Disponibilidad (%),,0%,,Disponibilidad (%),,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Eficiencia (%) SPE,,"100,00",,Eficiencia (%) SPE,,"0,00",,Eficiencia (%) SPE,,"0,00",,Eficiencia (%) SPE,,"0,00",,Eficiencia (%) SPE,,"0,00",,Eficiencia (%) SPE,,"0,00",,Eficiencia (%) SPE,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T. total del mes,,"24,00",,T. total del mes,,"24,00",,T. total del mes,,"24,00",,T. total del mes,,"24,00",,T. total del mes,,"24,00",,T. total del mes,,"24,00",,T. total del mes,,"24,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Promedio de tiempo efectivo,,"0,12",,Promedio de tiempo efectivo,,"0,00",,Promedio de tiempo efectivo,,"0,00",,Promedio de tiempo efectivo,,"0,00",,Promedio de tiempo efectivo,,"0,00",,Promedio de tiempo efectivo,,"0,00",,Promedio de tiempo efectivo,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cajas No Producidas,,10439,,Cajas No Producidas,,0,,Cajas No Producidas,,0,,Cajas No Producidas,,0,,Cajas No Producidas,,0,,Cajas No Producidas,,0,,Cajas No Producidas,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Preventivo,,"0,00",,Preventivo,,"0,00",,Preventivo,,"0,00",,Preventivo,,0,,Preventivo,,"0,00",,Preventivo,,0,,Preventivo,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Falla Suministro Electrico,,"0,00",,Falla Suministro Electrico,,"0,00",,Falla Suministro Electrico,,"0,00",,Falla Suministro Electrico,,0,,Falla Suministro Electrico,,"0,00",,Falla Suministro Electrico,,"0,00",,Falla Suministro Electrico,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calidad,,"100,00%",,Calidad,,#DIV/0!,,Calidad,,"0,00%",,Calidad,,,,Calidad,,"0,00%",,Calidad,,#DIV/0!,,Calidad,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OEE,,2%,,OEE,,#DIV/0!,,OEE,,0%,,OEE,,,,OEE,,0%,,OEE,,#DIV/0!,,OEE,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTTR,,#DIV/0!,,MTTR,,#DIV/0!,,MTTR,,0,,MTTR,,,,MTTR,,0,,MTTR,,#DIV/0!,,MTTR,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MTBF,,0,,MTBF,,#DIV/0!,,MTBF,,0,,MTBF,,,,MTBF,,0,,MTBF,,#DIV/0!,,MTBF,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rendimiento,,"75,00%",,Rendimiento,,"75,00%",,Rendimiento,,"83,33%",,Rendimiento,,"83,33%",,Rendimiento,,"0,00%",,Rendimiento,,"83,33%",,Rendimiento,,"93,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Frecuencias,,"0,00",,Frecuencias,,"0,00",,Frecuencias,,"0,00",,Frecuencias,,,,Frecuencias,,"0,00",,0,,"0,00",,Frecuencias,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Merma Total,,"72,49%",,,,,,Merma Total,,,,,,,,Merma Total,,,,Merma Total,,,,Merma Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCCIÓN,Linea 1 TBA 1000cc,,,,,,,Linea 2 TPA 250cc,,,,,,,TPA L3 200cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nombre de la Parada ,Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada ,Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada ,Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),Nombre de la Parada ,Equipo,Tiempo (min),Frecuencia,Equipo/Parada,Tiempo (h),Merma (Uni),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Falla Operacional (Operación),,225,,Falla Operacional (Operación),"3,75",0,,FW-,0,,,"0,00",#N/A,,FW-,0,,,"0,00",0,,FW-,0,,,"0,00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
